red_file,blue_file,score_red,score_blue,score,weight,points_red,points_blue,steps,ammo_red,ammo_blue
agents/Django.py,domination/agent.py,100,0,1.0,1.1111111111111112,2.2222222222222223,0,135,10,8
agents/Django.py,domination/agent.py,100,0,1.0,1.1313131313131313,2.2626262626262625,0,97,2,9
agents/Django.py,domination/agent.py,100,0,1.0,1.1515151515151516,2.303030303030303,0,40,3,4
agents/Django.py,domination/agent.py,100,0,1.0,1.1717171717171717,2.3434343434343434,0,101,6,7
agents/Django.py,domination/agent.py,100,0,1.0,1.1919191919191918,2.3838383838383836,0,46,3,3
agents/Django.py,domination/agent.py,100,0,1.0,1.2121212121212122,2.4242424242424243,0,90,5,6
agents/Django.py,domination/agent.py,100,0,1.0,1.2323232323232323,2.4646464646464645,0,64,2,6
agents/Django.py,domination/agent.py,100,0,1.0,1.2525252525252526,2.505050505050505,0,40,4,3
agents/Django.py,domination/agent.py,100,0,1.0,1.2727272727272727,2.5454545454545454,0,48,3,4
agents/Django.py,domination/agent.py,100,0,1.0,1.292929292929293,2.585858585858586,0,119,9,6
agents/Django.py,domination/agent.py,100,0,1.0,1.3131313131313131,2.6262626262626263,0,78,6,6
agents/Django.py,domination/agent.py,100,0,1.0,1.3333333333333333,2.6666666666666665,0,39,2,3
agents/Django.py,domination/agent.py,100,0,1.0,1.3535353535353536,2.707070707070707,0,62,2,4
agents/Django.py,domination/agent.py,100,0,1.0,1.3737373737373737,2.7474747474747474,0,75,5,5
agents/Django.py,domination/agent.py,100,0,1.0,1.393939393939394,2.787878787878788,0,51,1,5
agents/Django.py,domination/agent.py,100,0,1.0,1.4141414141414141,2.8282828282828283,0,50,4,3
agents/Django.py,domination/agent.py,100,0,1.0,1.4343434343434343,2.8686868686868685,0,80,7,5
agents/Django.py,domination/agent.py,100,0,1.0,1.4545454545454546,2.909090909090909,0,53,3,5
agents/Django.py,domination/agent.py,0,100,0.0,1.4747474747474747,0,2.9494949494949494,97,6,8
agents/Django.py,domination/agent.py,100,0,1.0,1.494949494949495,2.98989898989899,0,45,2,4
agents/Django.py,domination/agent.py,100,0,1.0,1.5151515151515151,3.0303030303030303,0,99,6,8
agents/Django.py,domination/agent.py,100,0,1.0,1.5353535353535352,3.0707070707070705,0,158,8,13
agents/Django.py,domination/agent.py,100,0,1.0,1.5555555555555556,3.111111111111111,0,116,8,8
agents/Django.py,domination/agent.py,100,0,1.0,1.5757575757575757,3.1515151515151514,0,51,3,4
agents/Django.py,domination/agent.py,100,0,1.0,1.595959595959596,3.191919191919192,0,102,7,6
agents/Django.py,domination/agent.py,100,0,1.0,1.6161616161616161,3.2323232323232323,0,66,3,7
agents/Django.py,domination/agent.py,100,0,1.0,1.6363636363636365,3.272727272727273,0,76,6,4
agents/Django.py,domination/agent.py,100,0,1.0,1.6565656565656566,3.313131313131313,0,74,5,4
agents/Django.py,domination/agent.py,100,0,1.0,1.6767676767676767,3.3535353535353534,0,46,4,3
agents/Django.py,domination/agent.py,100,0,1.0,1.696969696969697,3.393939393939394,0,40,1,2
agents/Django.py,domination/agent.py,100,0,1.0,1.7171717171717171,3.4343434343434343,0,73,5,6
agents/Django.py,domination/agent.py,100,0,1.0,1.7373737373737375,3.474747474747475,0,44,2,4
agents/Django.py,domination/agent.py,100,0,1.0,1.7575757575757576,3.515151515151515,0,123,7,10
agents/Django.py,domination/agent.py,100,0,1.0,1.7777777777777777,3.5555555555555554,0,42,1,4
agents/Django.py,domination/agent.py,100,0,1.0,1.797979797979798,3.595959595959596,0,89,6,4
agents/Django.py,domination/agent.py,100,0,1.0,1.8181818181818181,3.6363636363636362,0,33,1,4
agents/Django.py,domination/agent.py,100,0,1.0,1.8383838383838385,3.676767676767677,0,46,3,3
agents/Django.py,domination/agent.py,100,0,1.0,1.8585858585858586,3.717171717171717,0,40,1,3
