red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,0.741,741,259,600,51,35
/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,0.564,564,436,600,71,72
/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,0.576,576,424,600,90,69
/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,0.599,599,401,600,87,64
