red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,0.53,530,470,600,82,76
/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,0.916,916,84,600,90,63
/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,1.0,1000,0,470,59,46
/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,/Users/parismavromoustakos/Desktop/Domination-Game-master/domination/agent.py,0.675,675,325,600,79,74
